gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
15024,0.01,0.722769797,Metamorphic Rocks,0.75,Acid Plutonic Rocks,0.25,0.0
15026,0.01,0.722769797,Metamorphic Rocks,0.666666667,Acid Plutonic Rocks,0.333333333,0.0
15030,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
15031,0.025746321,0.724143778,Acid Plutonic Rocks,1.0,,0.0,0.0
15032,0.01,0.722769797,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
16001,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
16004,0.026997428,0.724253059,Metamorphic Rocks,0.666666667,Unconsolidated Sediments,0.333333333,0.0
16007,0.028226861,0.724360462,Metamorphic Rocks,0.666666667,Unconsolidated Sediments,0.333333333,0.0
16012,0.057962135,0.726962987,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
16014,0.026546536,0.724213673,Metamorphic Rocks,1.0,,0.0,0.0
17001,0.013260188,0.722438301,Acid Plutonic Rocks,1.0,,0.0,0.0
17003,0.010261866,0.722792626,Acid Plutonic Rocks,1.0,,0.0,0.0
17005,0.022532166,0.722866646,Acid Plutonic Rocks,0.5,Metamorphic Rocks,0.333333333,0.0
17006,0.01218718,0.722960489,Metamorphic Rocks,1.0,,0.0,0.0
17007,0.01005378,0.722774486,Metamorphic Rocks,1.0,,0.0,0.0
17009,0.040503913,0.722225843,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
17011,0.01195019,0.722939824,Metamorphic Rocks,1.0,,0.0,0.0
17012,0.030106119,0.721049825,Metamorphic Rocks,1.0,,0.0,0.0
17015,0.027523184,0.722964743,Acid Plutonic Rocks,1.0,,0.0,0.0
17019,0.022208982,0.721529168,Acid Plutonic Rocks,1.0,,0.0,0.0
17022,0.010964005,0.722853839,Metamorphic Rocks,0.75,Acid Plutonic Rocks,0.25,0.0
17024,0.01290024,0.723022668,Metamorphic Rocks,0.75,Acid Plutonic Rocks,0.25,0.0
