gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
9008,6.245156981,16.98885427,5.997807743,0.239106376,0.250951073,25,150,150,47,39,29,27,24,34,9,8,1.39,1.39,1.33,1.33,0.86,1.063294118,0.38,0.236941176,0.031926902,0.01437236,C,-4.886061163
9009,6.843161399,20.65983405,7.144777232,0.223390796,0.238402627,25,150,150,47,39,29,27,24,34,9,8,1.39,1.357323867,1.33,1.303872283,0.86,0.944500818,0.38,0.320381888,0.027807676,0.013428277,C,-0.316958933
9011,1.237083333,22.9715103,7.463824579,0.225276676,0.244120658,150,150,150,47,39,29,27,24,34,9,8,1.39,1.390049505,1.33,1.3299,0.86,0.863960396,0.38,0.376336634,0.028698843,0.016473619,C,-1.995034118
9012,1.629664055,23.64532803,7.524214314,0.220219573,0.240751984,25,150,150,47,39,29,27,24,34,9,8,1.39,1.367159905,1.33,1.312525773,0.86,0.87575179,0.38,0.361622912,0.022698181,0.011946144,C,-0.938394735
10004,1.218729535,12.35762595,5.129202438,0.189083163,0.183121517,75,150,125,48,37,23,22,29,41,7,3,1.37,1.331640625,1.3,1.27859375,1.63,1.343046875,0.56,0.51265625,0.013329585,0.00689824,C,-0.998951491
10005,1.261453879,11.99157885,4.856450758,0.191958434,0.182352444,125,150,125,16,15,29,28,55,57,4,5,1.21,1.273333333,1.21,1.266666667,0.75,0.833333333,0.45,0.433333333,0.013588042,0.00637771,C,-1.72079882
10008,3.684553578,17.46282477,6.98686701,0.198133916,0.199272234,25,150,125,48,37,23,28,29,41,4,5,1.37,1.354650767,1.3,1.303646953,1.63,1.060620221,0.45,0.427875956,0.014843248,0.007499927,C,-0.210593595
10010,1.357142857,7.350334314,2.528566758,0.179135022,0.162590963,125,150,125,16,15,29,28,55,57,4,5,1.21,1.211353383,1.21,1.210676692,0.75,0.764887218,0.45,0.45,0.0128661,0.006943385,D,-0.568197817
10011,1.584291645,16.00237128,6.261911357,0.198639863,0.196413167,25,150,125,16,15,29,28,55,57,4,5,1.21,1.338031088,1.21,1.298560461,0.75,0.823762887,0.45,0.36371134,0.015292987,0.007444827,C,-0.340857572
10013,39.11087091,17.91706842,7.565618567,0.209112014,0.225416327,75,150,150,42,40,36,35,22,25,9,12,1.4,1.38,1.38,1.347096774,1.0,1.146451613,0.4,0.444946237,0.01545382,0.009251335,C,-0.892498747
10014,1.365757687,18.83244373,7.485209378,0.207706613,0.210494183,25,150,50,79,70,10,10,11,20,4,8,1.57,1.438766667,1.46,1.386157025,0.5,0.854818482,0.28,0.284587459,0.016149401,0.007587375,C,-0.739225377
11001,8.430609756,20.01502042,7.430378032,0.213765199,0.219581367,25,150,25,43,0,34,0,23,0,26,0,1.39,1.434824561,1.46,1.421538462,1.4,1.099122807,0.0,0.154035088,0.019337131,0.008388938,C,-1.448909146
11005,1.121487603,13.72996457,5.043789977,0.218650174,0.218652619,25,150,25,43,0,34,0,23,0,26,0,1.39,1.393134328,1.38,1.38,1.4,1.274626866,0.0,0.125373134,0.022970347,0.008835532,C,-5.713415487
11006,1.136497842,15.87496919,5.896931723,0.216944303,0.218221239,25,150,25,43,0,34,0,23,0,26,0,1.39,1.39204918,1.38,1.38,1.4,1.318032787,0.0,0.081967213,0.021648861,0.008416251,C,-3.006415347
11007,14.41046903,22.20272371,8.646058955,0.212708746,0.226036205,50,150,125,48,37,23,22,29,41,7,3,1.37,1.433301887,1.3,1.359622642,1.63,1.198490566,0.56,0.45245283,0.013957143,0.006796115,C,-1.266875789
